16,7.,Bhopal,xvii. Measles,05,00,08-05-15,08-05-15,Under Surveillance,"Cases of fever with rash reported from Village Rahul Nagar, Block Govind Pura,District Bhopal. District RRT investigated the outbreak. Immunization status of the cases was unknown. Majority of the cases were in 1-7 years of age group. All 4 samples tested at Medical College Bhopal were positive for Measles IgM ELISA. . Vitamin A supplementation done. All cases treated symptomatically. Health education given.",,19
29,West Bengal,Burdwan,xxx. Acute Diarrheal Disease,08,00,05-05-15,06-05-15,Under Control,"Cases of loose stools reported from Village PrantikaTaltala Basti, Ward No. 08, Block DMC, District Burdwan. District RRT investigated the outbreak. 02 rectal swabs collected and sent to BMCH, both the samples were found to be negative for any pathogen. All cases treated symptomatically. Health education given.",,19
38,Madhya Pradesh,10,00,24-04-15,Control,were positive for Rubella on IgM ELISA. All cases treated symptomatically. Health education given.,,,,,19
29,Kerala,A,24,00,25-05-15,Surveillance,contaminated water could be the probable cause of the outbreak .Total 08 samples collected and tested in RPH lab and all samples were found positive for HAV antibody test. All cases treated symptomatically. Health education given.,,,,23
42,Tamil Nadu,xxxviii. Chikungunya,11,00,02-06-15,Surveillance,outbreak.House to house fever survey done. 02 blood samples tested at ZET Salem; both the sample were found to be positive for chikungunya. All cases treated symptomatically. Anitlarval activities done. Source reduction activities undertaken. Health education given.,,,,24
38,Karnataka,ya,114,00,29-04-15,Control,"survey done. Out of 20 serum samples, 13 samples tested positive for chikungunya and 2 samples tested positive for dengue at DSU Tumkur. All cases treated symptomatically. Anti larval activities under taken. Health education given",,,,26
7,,vi. Food Madhubani Poisoning,88,0,29-06-15,01-07-15,Under Surveillance,"Cases of pain abdomen and vomiting reported from Village-HSC Servsima, PHC Jhanjharpur, District Madhubani. District RRT investigated the outbreak. All cases consumed food in mid day meal consisting rice, dal and vegetables. All cases were between 3-12 years of age. A total of 08 food samples taken and sent to food laboratory Kolkata; result awaited. All cases treated symptomatically. Health education given regarding food hygiene.",,,27
8,,Balodabazar vii. Diarrhea,39,00,24-06-15,26-06-15,Under Control,"Cases reported from Block Simga, District Balodabazar. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. All cases treated symptomatically. Health education given",,,27
9,,viii. Acute Diarrheal Bemetara Disease,22,00,28-06-15,29-06-15,Under Control,"Cases reported from Village Bendachuwa, PHC Parpodi, Block Kurlu, District Bemetara. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. ORS packets distributed and all cases treated symptomatically. Health education given",,,27
10,,Rajnandgaon ix. Diarrhea,14,00,27-06-15,27-06-15,Under Control,"Cases reported from Block Matiya, District Rajnandgaon. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. Stool samples collected and sent to JNM College Raipur and tested negative for Cholera. All cases treated symptomatically. Health education given",,,27
11,,x. Acute Mungeli Diarrheal Disease,66,00,27-06-15,29-06-15,Under Control,"Cases reported from Village Kakedi, SHC Bidbida, District Mungeli. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. 03 stool samples tested at CIMS Bilaspur were found to be negative for any pathogen. All cases treated symptomatically. Health education given",,,27
12,,xi. Acute Diarrheal Mahasamund Disease,17,0,01-07-15,04-07-15,Under Surveillance,"Cases reported from Village Roda, PHC Khamhariya, CHC-Block Bagbahara, District Mahasamund. Consumption of contaminated water could be the probable cause of the outbreak. House to house survey done. Water sources were chlorinated. All cases treated symptomatically. Health education given.",,,27
14,,Anand xii. Hepatitis E,11,0,01-07-15,01-07-15,Under Surveillance,"Cases reported from Village-SC Padgol, PHC Bandhani, Block Petald, District Anand. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. All 07 blood samples tested at private lab were found to be positive for hepatitis E IgM ELISA. 02 water samples collected and sent to PHL Anand; result awaited. All cases treated symptomatically. Health education given",,,27
15,,xiii. Food Dahod Poisoning,17,0,30-06-15,02-07-15,Under Surveillance,"Cases reported from Eklavya Residential School, Village Baria Ni Hathod, PHC Balaiya Tafatepura, District Dahod. District RRT investigated the outbreak. All cases consumed left over food. 01 water sample tested at Baroda Medical College was found to be potable. All cases treated symptomatically. Health education given",,,27
16,,Mahesana xiv. Measles,13,0,02-07-15,03-07-15,Under Surveillance,"Cases reported from Village Kakasana, SC Kanoda, PHC Kanoda, Taluka Becharaji, District Mahesana. District RRT investigated the outbreak. Majority of cases were in 2-5 years age group. A total of 05 serum samples taken and sent to B J Medical College Ahmedabad out of which 04 samples tested positive for measles IgM ELISA. Vitamin A solution given and all cases treated symptomatically. Health education given.",,,27
17,,xv. Acute Sabarkantha Diarrheal Disease,31,00,29-06-15,29-06-15,Under Surveillance,"Cases reported from Village Indiranagar, UHC-Block Prantij, District Sabarkantha. District RRT investigated the outbreak. Consumption of contaminated water could be the probable cause of the outbreak. 07 stool samples were taken and sent to DPHL Himmatnagar; result awaited. All cases treated symptomatically. Water sources were chlorinated. Health education given.",,,27
18,,Kupawara xvi. Mumps,19,0,03-07-15,03-07-15,Under Surveillance,"Cases of fever with parotid swelling reported from Government High School Thandipora, Block Karalpora,District Kupawara.District RRT investigated the outbreak. Majority of cases were in 4-12 years age group.All cases treated symptomatically. Health education regarding isolation of cases given.",,,27
19,,Gadag xvii. Chikungunya,30,0,03/07/15,04/07/15,Under Control,"Cases reported from Village Yallapur, PHC-CHC Balehosur, Taluk Shirhatti, District Gadag. District RRT investigated the outbreak. House to house fever survey done.03 out of 5 serum samples tested positive for chikungunya.All cases treated symptomatically. Health education given.",,,27
21,,xviii. Food Vijayapur Poisoning,21,0,04-07-15,05-07-15,Under Control,"Cases reported from primary school of Village Shivapur, PHC-CHC Konnur, Taluk Muddebihal, District Vijayaapur. District RRT investigated the outbreak. All cases consumed food in mid-day meal All cases treated symptomatically. Health education regarding food hygiene given.",,,27
22,,Belgaum xix. Cholera,9,0,30-06-15,01/07/15,Under Control,"Cases reported from Village Dasarkodi, PHC-CHC Chinchali, Taluk Raibag, District Belgaum. District RRT investigated the outbreak. House to house survey done. 01 out of 2 stool samples tested positive for Vibrio Cholera culture at Belgaum Institute of Medical Sciences. All cases treated symptomatically. Health education given.",,,27
23,,xx. Acute Raichur Diarrheal Disease,59,0,01/07/15,3/07/15,Under Control,"Cases reported from Village Hunashihala Huda, PHC-CHC Kalamala, Taluk-District Raichur. District RRT investigated the outbreak. House to house survey done. All 4 water samples were found to be non potable. All cases treated symptomatically. Health education given.",,,27
24,,Mysore xxi. Fever,24,0,29-06-15,05-07-15,Under Control,"Cases reported from Village Anrutha Badavane, PHC Hanchya, Taluk-District Mysore. District RRT investigated the outbreak. House to house survey done. 6 blood samples and 19 blood smears collected and sent to Mysore Institute of Medical Sciences; result awaited. All cases treated symptomatically. Health education given.",,,27
25,,Tumkur xxii. Fever,17,0,03/07/15,06/07/15,Under Control,"Cases reported from Village Puravara SC T. Lambani Tand, PHC-CHC Gondhihalli, Taluk Madhugiri, District Tumkur. District RRT investigated the outbreak. House to house survey done. 2 serum samples tested at District Hospital Tumkur were found to be neagative for both dengue and chikungunya. All cases treated symptomatically. Health education given.",,,27
26,,xxiii. Acute Aurangabad Diarrheal Disease,85,0,29-06-15,01-07-15,Under Surveillance,"Cases reported from Village - SC - PHC Undangaon, Block Sillod, District Aurangabad. District RRT investigated the outbreak. House to house survey done. It was observed that water chlorination was not done routinely. Consumption of contaminated water could be the probable cause of the outbreak. Stool samples were collected and sent to DPHL Aurangabad; result awaited. All cases treated symptomatically. Health education given.",,,27
28,,xxiv. Acute Diarrheal Amravati Disease,56,0,01-07-15,03-07-15,Under Surveillance,"Cases reported from Village Sawalikheda, PHC Dulghat, Block Dharani.District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. All 05 stool samples tested at DPHL were negative for cholera culture. 10 water samples sent to DPHL ; result awaited. Alternate source of water provided. Well water was super chlorinated. All cases treated symptomatically. Health education given.",,,27
29,,Gadchiroli xxv. Fever,49,0,24-06-15,01-07-15,Under Surveillance,"Cases reported from Village Shivrajpur, SC Shivrajpur, PHC Kurud, Block Wadsa, District Gadchiroli. District RRT investigated the outbreak. House to house fever survey done. A total of 49 blood smears examined were found to be negative for Malaria parasite. A total of 16 serum sample sent to GMC Nagpur; result awaited. All cases treated symptomatically. Source reduction activities undertaken. Fogging done. Health education given.",,,27
30,,Kolhapur xxvi. Malaria,48,0,26-06-15,01-07-15,Under Surveillance,"Cases of fever reported from Village - SC, PHC Vadange, Block Karveer, District Kolhapur. District RRT investigated the outbreak. House to house survey done. Entomological survey done in the area. (HI 12.96, BI 22.22). 460 blood smears tested out of which 34 were positive for P Vivax. Health education given. Source reduction activities undertaken and fogging done in the area. All cases treated locally. Health education given.",,,27
31,,Sangli xxvii. Jaundice,11,0,26-06-15,04-07-15,Under Surveillance,"Cases reported from Village- SC Mauje Digraj, PHC Nandre , Block Miraj, District Sangli. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. A total of 06 serum samples taken and sent to Government Laboratory Medical College Miraj; result awaited. All cases treated symptomatically. Chlorination of water source done. Health education given.",,,27
32,,xxviii. Acute Sangli Diarrheal Disease,57,0,01-07-15,04-07-15,Under Surveillance,"Cases reported from Village-SC Dudhagaon, PHC Kavathepiran, Block Miraj, District Sangli. District RRT investigated the outbreak. House to house survey done. It was observed that the water treatment plant was temporarily shut for maintenance during which outbreak occurred. Consumption of contaminated water could be the probable cause of the outbreak. A total of 07 stool samples taken and sent to Government Laboratory Medical College, Miraj; result awaited. All cases treated symptomatically. Chlorination done.Health education given.",,,27
34,,xxix. Acute Diarrheal Thane Disease,20,0,30-06-15,01-07-15,Under Surveillance,"Cases reported from Village Gaykar, SC- PHC Angaon, , Jadhavali, Taluka Bhiwandi, District Thane. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. 02 water sample taken ; result awaited. All cases treated symptomatically. Chlorination done. Health education given.",,,27
35,,xxx. Acute Thane Diarrheal Disease,18,0,02-07-15,03-07-15,Under Surveillance,"Cases reported from Village Takipathar, SC Apte PHC Takipathar, , Taluka Shahapur District Thane. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. 1 water sample taken and sent to DPHL; result awaited. All cases treated symptomatically. Chlorination done. Health education given.",,,27
36,,xxxi. Acute Diarrheal Khargon Disease,18,0,27-06-15,03-07-15,Under Surveillance,"Cases reported from Village Birul, CHC Bhikangaon, Block Bhikangaon, District Khargon. District RRT investigated the outbreak. House to house survey done. All age groups were affected. All 3 water sample were found to be potable. All 3 stool samples tested at MGM College Indore were found to be negative for any pathogen. All cases treated symptomatically. Chlorination done. Health education given.",,,27
37,,xxxii. Acute Khargon Diarrheal Disease,27,0,29-06-15,03-07-15,Under Surveillance,"Cases reported from Village Bhomwada, PHC Bangarda, Block Barwaha, District Khargon. District RRT investigated the outbreak. House to house survey done. All age groups were affected. Water and stool samples collected and sent to MGM College Indore; result awaited. All cases treated symptomatically. Chlorination done.Health education given.",,,27
38,,Panna xxxiii. Cholera,56,2,01-07-15,02-07-15,Under Surveillance,"Cases reported from Gram Mudwari, Block Amanganj, District Panna.District RRT investigated the outbreak. House to house survey done. 01 out of 3 stool samples tested was found to be positive for vibrio cholera All cases treated Symptomatically. Health education given.",,,27
40,,Shivpuri xxxiv. Measles?,15,3,01-07-15,03-07-15,Under Surveillance,"Cases reported from Gram Kanchanpur, Block KhaniaDhana, District Shivpuri. District RRT investigated the outbreak. Majority of cases were less than 6 years of age. Samples sent to GMC Bhopal;result awaited. Three female children aged 03, 06, 06 years respectively died due to the condition. Health camp organized in the area and vitamin A given to children. All cases treated symptomatically. Health education given.",,,27
41,,xxxv. Acute Khorda Diarrheal Disease,24,00,01-07-15,03-07-15,Under Control,"Cases reported from, Villages Gunthuni and Golabai,CHC Haladia,Block-District Khorda. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. 07 stool samples and 08 water samples sent to S.C.B. Medical College Hospital Cuttack; result awaited. All cases treated symptomatically. Health education given",,,27
42,,SAS Nagar xxxvi. Hepatitis E,21,00,07-07-15,08-07-15,Under Surveillance,"Cases reported from Krishna enclave, Dhakoli, District SAS Nagar. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. 05 blood samples collected and sent to DPL Mohali, out of which one sample was found to be positive for Hepatitis E.02 stool samples tested negative for any pathogen. All cases treated symptomatically. Health education given.",,,27
43,,Rupnagar xxxvii. Hepatitis E,20,00,02-07-15,03-07-15,Under Surveillance,"Cases reported from Villages Bela and Jagatpura ward no. 6 Shri Anandpur Sahib, District Rupnagar. District RRT investigated the outbreak. House to house survey done.08 out of 20 blood samples tested at DPL Mohali, were found to be positive for Hepatitis E. All cases treated symptomatically. Chlorination of water sources done. Alternate water supply arranged. All cases treated symptomatically. Health education given.",,,27
44,,Tiruvannamalai xxxviii. Dengue,08,00,01-07-15,07-07-15,Under Control,"Cases reported from, Village-HSC Boothamangalam PHC Mangalam, Block Thurinjapuram, District Tiruvannamalai. District RRT investigated the outbreak. House to house fever survey done. 3 serum samples sent to ZET Vellore, out of which 1 sample tested positive for Dengue IgM ELISA. All cases treated symptomatically. Health education given.",,,27
46,,xxxix. Food Dindigul Poisoning,16,0,01/07/15,06/07/15,Under Control,"Cases fever ,pain abdomen and vomiting reported from Village Sriramapuram, HSC Sithuvarpatti, PHC Pilathu, Block Vadamadurai, District Dindigul. District RRT investigated the outbreak. House to house survey done. All cases consumed stale non vegetarian food. All cases treated symptomatically. Health education given.",,,27
47,,xl. Food Thirunelveli Poisoning,85,0,01/07/15,06/07/15,Under Control,"Cases reported from Village Rathinapuri, HSC Subramaniapuram, PHC Thalaivankottai, Block Vasudevanallur, District Thirunelveli. District RRT investigated the outbreak. House to house survey done. All the cases consumed food in a local festival. Water sample and food sample collected; result awaited. All cases treated symptomatically. Health education given.",,,27
48,,Kancheepuram xli. Dengue,9,0,02/07/15,06/07/15,Under Control,"Cases reported from Village Melkathirpur Colony, HSC Keelkathirpur, PHC Perumbakkam, Block-District Kancheepuram. District RRT investigated the outbreak. House to house fever survey done. 8 serum samples sent to ZET Vellore, out of which 01 sample was found to be positive for Dengue by IgM ELISA. All cases treated symptomatically. Health education given.",,,27
49,,xlii. Leptospiro Pudukottai sis,8,0,04/07/15,06/07/15,Under Control,"Cases reported from Village Kodalikudi, HSC Nambampatti, PHC Viralimalai, Block Viralimalai, District Pudukkottai. District RRT investigated the outbreak. House to house survey done. 5 serum samples sent to ZET Trichy out of which 3 samples tested positive for leptospirosis by IgM ELISA. All cases treated symptomatically. Health education given.",,,27
50,,Krishnagiri xliii. Dengue,8,0,04/07/15,06/07/15,Under Control,"Cases reported from Village Thanneerpallam, HSC Jegadevi, PHC Jegadevi, Block Bargur, District Krishnagiri. District RRT investigated the outbreak. House to house fever survey done. 3 serum samples sent to DPHL Krishnagiri, out of which 1 sample tested positive for Dengue by IgM ELISA. All cases treated symptomatically. Health education given.",,,27
