Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
60,5.,Maharashtra,Pune,Influenza A H1N1,8#,1#,05-03-12,,Under Surveillance,"507 cases and 23 deaths have been reported from state of Maharashtra (till 6th May, 2012) due to Influenza A H1N1. From 7th May to 13th May 2012, further 8 cases and 1 death occurred in the state. These new cases and death were reported from Latur, Mumbai and Pune districts.",19
61,6.,Tamil Nadu,Chennai,Influenza A H1N1,19#,0#,02-04-12,,Under Surveillance,"132 cases and 4 deaths have been reported from Tamil Nadu (till 6th May, 2012) due to Influenza A H1N1. From 7th May to 13th May 2012, further 19 cases occurred in the state. These new cases were reported from Chennai, Coimbatore, Kanchipuram, Thanjavur, Tiruppur, Tiruvannamalai, and Viluppuram, districts.",19
43,3.,Karnataka,Bengaluru,Influenza A H1N1,27#,1#,26-03-12,,Under Surveillance,"A total of 222 cases and 10 deaths have been reported from Karnataka (upto 13th May, 2012) due to Influenza A H1N1. From 14th May to 20th May 2012, further 27 cases and 1 death occurred in the state. These new cases and death were reported from Bengaluru, Bellary, Davanagere, Mandya, Shimoga, Tumkur and Udupi districts.",20
44,4.,Maharashtra,Pune,Influenza A H1N1,32#,2#,05-03-12,,Under Surveillance,"A total of 515 cases and 24 deaths have been reported from Maharashtra (upto 13th May, 2012) due to Influenza A H1N1. From 14th May to 20th May 2012, further 32 cases and 2 deaths occurred in the state. These new cases and deaths were reported from Mumbai, Nagpur, Nashik, Parbhani, Pune and Thane districts.",20
45,5.,Tamil Nadu,Chennai,Influenza A H1N1,17#,0#,02-04-12,,Under Surveillance,"A total of 151 cases and 4 deaths have been reported from Tamil Nadu (upto 13th May, 2012) due to Influenza A H1N1. From 14th May to 20th May 2012, further 17 cases occurred in the state. These new cases were reported from Chennai, Coimbatore, Karur, Thanjavur, Tiruvallur and Nilgiris districts.",20
56,4.,Karnataka,Bengaluru,Influenza A H1N1,14#,3#,26-03-12,,Under Surveillance,"A total of 249 cases and 11 deaths have been reported from Karnataka (upto 20th May, 2012) due to Influenza A H1N1. From 21st May to 27th May 2012, further 14 cases and 3 deaths occurred in the state. These new cases and deaths were reported from Bengaluru, Davanagere and Mysore districts.",21
57,5.,Maharashtra,Pune,Influenza A H1N1,6#,1#,05-03-12,,Under Surveillance,"A total of 547 cases and 26 deaths have been reported from Maharashtra (upto 20th May, 2012) due to Influenza A H1N1. From 21st May to 27th May 2012, further 6 cases and 1 death occurred in the state. These new cases and death were reported from Nanded district.",21
58,6.,Tamil Nadu,Chennai,Influenza A H1N1,11#,0#,02-04-12,,Under Surveillance,"A total of 168 cases and 4 deaths have been reported from Tamil Nadu (upto 20th May, 2012) due to Influenza A H1N1. From 21st May to 27th May 2012, further 11 cases occurred in the state. These new cases were reported from Chennai, Thanjavur and Tiruvallur districts.",21
42,3.,Karnataka,Bengaluru,Influenza A H1N1,10#,2#,26-03-12,,Under Surveillance,"A total of 263 cases and 14 deaths have been reported from Karnataka (upto 27th May, 2012) due to Influenza A H1N1. From 28th May to 3rd June 2012, further 10 cases and 2 deaths occurred in the state. These new cases and deaths were reported from Bengaluru, Chamarajanagar, Davanagere, Haveri and Shimoga districts.",22
41,2.,Karnataka,Bengaluru*,Influenza A H1N1,8#,2#,26-03-12,,Under Surveillance,"A total of 279 cases and 19 deaths have been reported from Karnataka (upto 10th June, 2012) due to Influenza A H1N1. From 11th to 17th June, 2012 further 8 cases and 2 deaths occurred in the state. These new cases and deaths were reported from Bengaluru, Chikballapur, Chitradurga, Dakshina Kannada, Davanagere and Udupi districts.",24
40,,3. Karnataka,Bengaluru*,Influenza A H1N1,7#,1#,26-03-1 2,,Under Surveillance,"A total of 287 cases and 21 deaths have been reported from Karnataka (upto 17th June, 2012) due to Influenza A H1N1. From 18th to 24th June, 2012 further 7 cases and 1death occurred in the state. These new cases and death were reported from Bengaluru, Dakshina Kannada, and Udupi districts.",25
39,3.,Karnataka,Bengaluru*,Influenza A H1N1,14#,0#,26-03-12,,Under Surveillance,"A total of 294 cases and 22 deaths have been reported from Karnataka (upto 24th June, 2012) due to Influenza A H1N1. From 25th June to 1st July, 2012 further 14 cases occurred in the state. These new cases were reported from Bengaluru, Dakshina Kannada, and Udupi districts.",26
