Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
2,AR/PPM/2023/37/1202,Arunachal Pradesh,Papum Pare,Rabies,1,1,14-09-23,14-09-23,Under Surveillance,"Case was reported from TRIHMS (Tomo Riba Institute of Health and Medical Sciences), Naharlagun, Arunachal Pradesh. Case presented with symptoms of hydrophobia, aerophobia, and shortness of breath. Case was diagnosed clinically. The case was bitten by his own puppy in the 1st week of July 2023. He did not take ARV (Anti Rabies Vaccination) after the bite. District RRT investigated the outbreak. Awareness activities were done on rabies and its PEP (post- exposure prophylaxis) / Pre-EP (pre-exposure prophylaxis). Mass ARV vaccination drive was conducted. Case was a 19 year old male, who died on the 14th September evening due to rabies. Puppy was also reported to be unvaccinated.",37
49,KN/TUM/2022/19/269,Karnataka,Tumakuru,Rabies,01,1.0,04-05-22,,Under Control,"Case reported from Village Hosapatna, PHC Honnavalli.District Tumkaru. A 70 years old male was bitten by pet dog on 14.04.2022. Case had symptomsof body pain and fever. Vaccinated with ARV- 1st dose on 28.04.2022 and died on 02.05.2022.",19
9,KN/MNY/2022/26/496,Karnataka,Mandya,Rabies,01,1.0,24-06-22,29-06-22,Under Control,"Case reported from Taluk S.R. Patna, District Mandya. Case presented with fever, myalgia, hydrophobia, photophobia and acrophobia. The deceased case was a 58 years old male. He was diagnosed clinically with Rabies. District RRT investigated the outbreak. Health education was given on the importance of pre and post exposure prophylaxis for Rabies.",26
1,KN/HAS/2022/28/541,Karnataka,Hassan,Rabies,01,1.0,11-07-22,12-07-22,Under Control,"Case reported from Bhoovanahalli, Hasan District. Case presented with difficulty in swallowing, drooling, excessive salivation and headache. She had history of dog bite four months ago. The deceased case was a 50 years old female. Health education was given regarding the importance of post exposure prophylaxis.",28
6,KN/HAS/2022/28/541,Karnataka,Hassan,Rabies,01,1.0,11-07-22,12-07-22,Under Control,"Case reported from Bhoovanahalli, Hasan District. Case presented with difficulty in swallowing, drooling, excessive salivation and headache. She had history of dog bite four months ago. The deceased case was a 50 years old female. Health education was given regarding the importance of post exposure prophylaxis.",28
1,KN/BDR/2022/40/801,Karnataka,Bidar,Rabies,01,1.0,04-10-22,06-10-22,Under Control,"Case reported from Taluk Aurad, District Bidar. Case presented with fever, localized weakness and hydrophobia. There was a history of dog bite four months ago and was not vaccinated. The case was diagnosed clinically. The deceased case was a 10 years old male. District RRT investigated the outbreak. For all family members pre-exposure prophylaxis was given. Health education was imparted in the community regarding the importance of post-exposure prophylaxis following a dog bite.",40
4,KN/BDR/2022/40/801,Karnataka,Bidar,Rabies,01,1.0,04-10-22,06-10-22,Under Control,"Case reported from Taluk Aurad, District Bidar. Case presented with fever, localized weakness and hydrophobia. There was a history of dog bite four months ago and was not vaccinated. The case was diagnosed clinically. The deceased case was a 10 years old male. District RRT investigated the outbreak. For all family members pre-exposure prophylaxis was given. Health education was imparted in the community regarding the importance of post-exposure prophylaxis following a dog bite.",40
2,KN/CKR/2022/41/809,Karnataka,Chikkaballapura,Rabies,02,2.0,07-06-22,13-10-22,Under Control,"Case reported from Pesalaparthi and Dasaravaripalli Village, Taluk Bagepalli, District Chikkaballapura. The patient 48 year old female (Pesalaparthi village) and her family (3 members) were all bitten by dog. All were partially vaccinated, after 3 month of bite. The patient got symptoms of Hydrophobia and Airophobia, and was admitted at ED Hospital on 3rd June 2022 from where she was referred to NIMHANS Hospital and died on 7th June 2022. No samples collected, clinically confirmed Rabies. Another 58 year old male and died on 27th Feb 2022 at Home. District RRT investigated the outbreak. Health education was given. The deceased’s family members and people in community were sensitized regarding the preventive measures. Instructed the patient’s family members for complete vaccination.",41
5,KN/CKR/2022/41/809,Karnataka,Chikkaballapura,Rabies,02,2.0,07-06-22,13-10-22,Under Control,"Case reported from Pesalaparthi and Dasaravaripalli Village, Taluk Bagepalli, District Chikkaballapura. The patient 48 year old female (Pesalaparthi village) and her family (3 members) were all bitten by dog. All were partially vaccinated, after 3 month of bite. The patient got symptoms of Hydrophobia and Airophobia, and was admitted at ED Hospital on 3rd June 2022 from where she was referred to NIMHANS Hospital and died on 7th June 2022. No samples collected, clinically confirmed Rabies. Another 58 year old male and died on 27th Feb 2022 at Home. District RRT investigated the outbreak. Health education was given. The deceased’s family members and people in community were sensitized regarding the preventive measures. Instructed the patient’s family members for complete vaccination.",41
0,KN/BLE/2022/48/938,Karnataka,Ballari,Rabies,02,2.0,28-11-22,28-11-22,Under Surveillance,"Cases reported from Village Badanahatti, CHC Kurugodu, Taluk Ballari, District Ballari. Both cases developed typical symptoms of rabies like dysphagia, hydrophobia, aerophobia, hyper salivation, hyper activity, seizures and insomnia within 10 to 15 days after dog bite. Two suspected Rabies death occurred in a 7 Y/M and 3 Y/F at Indira Nagara and S.T Street respectively in Badanahatti village. According to public and parents, bite was unprovoked and both cases had category III wounds. 7 Y/M has not received any anti rabies vaccine due to negligence and superstitious belief though they were advised to get rabies vaccine. 3 Y/F had received 04 doses of anti-rabies vaccine (ID route). The witnesses felt that dog appeared to be mad, had aggressive behavior with hyper salivation. On 1st Nov 2022 dog has been killed by public. District and Taluka RR Team visited and conducted Surveillance activities in the village. THO, MO and CHO were instructed to conduct the survey to find any other suspected Rabies dog bite cases, to conduct IEC activities for the villagers about Rabies disease, wound management and importance of ARV in any Animal bite conditions. Grama Panchayath and Veterinary department conducted the necessary rabies preventive and control measures especially dog restraining activities.",48
1,KN/BLE/2022/48/938,Karnataka,Ballari,Rabies,02,2.0,28-11-22,28-11-22,Under Surveillance,"Cases reported from Village Badanahatti, CHC Kurugodu, Taluk Ballari, District Ballari. Both cases developed typical symptoms of rabies like dysphagia, hydrophobia, aerophobia, hyper salivation, hyper activity, seizures and insomnia within 10 to 15 days after dog bite. Two suspected Rabies death occurred in a 7 Y/M and 3 Y/F at Indira Nagara and S.T Street respectively in Badanahatti village. According to public and parents, bite was unprovoked and both cases had category III wounds. 7 Y/M has not received any anti rabies vaccine due to negligence and superstitious belief though they were advised to get rabies vaccine. 3 Y/F had received 04 doses of anti-rabies vaccine (ID route). The witnesses felt that dog appeared to be mad, had aggressive behavior with hyper salivation. On 1st Nov 2022 dog has been killed by public. District and Taluka RR Team visited and conducted Surveillance activities in the village. THO, MO and CHO were instructed to conduct the survey to find any other suspected Rabies dog bite cases, to conduct IEC activities for the villagers about Rabies disease, wound management and importance of ARV in any Animal bite conditions. Grama Panchayath and Veterinary department conducted the necessary rabies preventive and control measures especially dog restraining activities.",48
12,KN/KAJ/2022/50/997,Karnataka,Chikkaballapura,Rabies,04,1.0,30-10-22,,Under Surveillance,"Cases reported from Village Kotaladinne, PHC/CHC Hossuru, Taluk Gauribidanur, District Chikkaballapura. One blood sample collected and sent to NIV Bengaluru result negative. The deceased was a 5 year old male child. District RRT investigated the outbreak. Health education was given.",50
1,KN/HAS/2021/04/0026,Karnataka,Hassan,Rabies,01,01,29-01-21,29-01-21,Under Control,"The deceased reported from Village Thogaranahalli, PHC/CHC & Taluk Alur with history of dog bit and presented with fever, vomiting and hydrophobia. . District RRT investigated the outbreak. Health education was given.",4
7,KN/HAS/2021/04/0026,Karnataka,Hassan,Rabies,01,01,29-01-21,29-01-21,Under Control,"The deceased reported from Village Thogaranahalli, PHC/CHC & Taluk Alur with history of dog bit and presented with fever, vomiting and hydrophobia. . District RRT investigated the outbreak. Health education was given.",4
3,AS/GLG/2021/07/0075,Assam,Golaghat,Rabies,01,01,20-02-21,20-02-21,Under Control,"The deceased was a 4 year old female who reported from Village Moheema TE Pothar Line, SC Moheema, PHC Sumonigaon, Block Charingia. District RRT investigated the outbreak. Health education was given.",7
5,KN/CKR/2021/07/0077,Karnataka,Chikkaballapura,Rabies,01,01,21-02-21,25-02-21,Under Control,"Case reported from Village Hosahalli, PHC/CHC Chickaballapura. District RRT investigated outbreak. Health education was given.Devasatanada Dibburu,Taluk the",7
10,AS/GLG/2021/07/0075,Assam,Golaghat,Rabies,01,01,20-02-21,20-02-21,Under Control,"The deceased was a 4 year old female who reported from Village Moheema TE Pothar Line, SC Moheema, PHC Sumonigaon, Block Charingia. District RRT investigated the outbreak. Health education was given.",7
12,KN/CKR/2021/07/0077,Karnataka,Chikkaballapura,Rabies,01,01,21-02-21,25-02-21,Under Control,"Case reported from Village Hosahalli, PHC/CHC Chickaballapura. District RRT investigated outbreak. Health education was given.Devasatanada Dibburu,Taluk the",7
19,KN/UDU/2021/08/0097,Karnataka,Udupi,Rabies,01,01,29-01-21,,Under Control,"Case reported from Village Karamballi, PHC/CHC UPHC- Manipal, Taluk Udupi. Case presented with difficulty in drinking water and swallowing. District RRT investigated the outbreak. Health Education was given regarding dog bite management.",8
0,AS/NCH/2021/10/0116,Assam,Dima Hasao,Rabies,01,01,07-03-21,10-03-21,Under Surveillance,"The deceased was a 28 year old male who reported from Village Dibarai, PHC Urban Health Centre, Block Mahur. Case presented with difficulty in swallowing, pain in the chest, hydrophobia, aerophobia, hallucination and muscle tightening. Health Education was given.",10
5,AS/NCH/2021/10/0116,Assam,Dima Hasao,Rabies,01,01,07-03-21,10-03-21,Under Surveillance,"The deceased was a 28 year old male who reported from Village Dibarai, PHC Urban Health Centre, Block Mahur. Case presented with difficulty in swallowing, pain in the chest, hydrophobia, aerophobia, hallucination and muscle tightening. Health Education was given.",10
0,AS/CCR/2021/12/0136,Assam,Cachar,Rabies,02,02,18-03-21,25-03-21,Under Control,"The deceased were a 31 year old male who reported from Village East Devipur, SC Baghabazar, BPHC Dholai and a 3 year old female who reported from Village Assamese Basti, SC Tarapur, BPHC Borkhola. Case presented with breathlessness, hydrophobia, abnormal body movements, restlessness, decreased appetite and thirst. District RRT investigated the outbreak. Health Education was given.",12
1,AS/GLG/2021/12/0137,Assam,Golaghat,Rabies,02,02,24-03-21,26-03-21,Under Surveillance,"The deceased were a 7 year old male who reported from Village Bamungaon, SC Dhansirimukh, PHC & BPHC Bokakhat and a 8 year old male who reported from Village 1 No Kanchari Gaon, SC Furkating SD NSC, PHC Furkating SD, Block KB Ali. Case presented with excessive salivation & irrelevent talk, aerophobia and hydrophobia. District RRT investigated the outbreak. Health Education was given.",12
5,AS/CCR/2021/12/0136,Assam,Cachar,Rabies,02,02,18-03-21,25-03-21,Under Control,"The deceased were a 31 year old male who reported from Village East Devipur, SC Baghabazar, BPHC Dholai and a 3 year old female who reported from Village Assamese Basti, SC Tarapur, BPHC Borkhola. Case presented with breathlessness, hydrophobia, abnormal body movements, restlessness, decreased appetite and thirst. District RRT investigated the outbreak. Health Education was given.",12
6,AS/GLG/2021/12/0137,Assam,Golaghat,Rabies,02,02,24-03-21,26-03-21,Under Surveillance,"The deceased were a 7 year old male who reported from Village Bamungaon, SC Dhansirimukh, PHC & BPHC Bokakhat and a 8 year old male who reported from Village 1 No Kanchari Gaon, SC Furkating SD NSC, PHC Furkating SD, Block KB Ali. Case presented with excessive salivation & irrelevent talk, aerophobia and hydrophobia. District RRT investigated the outbreak. Health Education was given.",12
12,KN/MNY/2021/50/0709,Karnataka,Mandya,Rabies,01,01,02-12-21,,Under Control,"Case reported from Taluk Maddur, District Mandya. The case presented with fever, aerophobia and hydrophobia. He was immediately sent to MIMS, Mandya on referral from PHC and then further referred to ED Hospital, Mysore. Patient was on treatment and later expired. The deceased was a male child. Inj. ARV was given to all family members. District RRT investigated the case. PHC was instructed to co-ordinate with Animal Husbandry regarding animal birth control measures and vaccination of all stray dogs in the village. Health education was given.",50
Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
2,KN/HAS/2023/04/073,Karnataka,Hassan,Human Rabies,01,01,21-01-2023,25-01-2023,Under Control,"Case reported from Tuppadahalli village, Didaga PHC, Channaraya Patna Taluka, Hassan District. Case presented with hydrophobia and had given a history of dog bite. The deceased case was a 65 years old female. District RRT investigated the outbreak. Health education was given on the importance of post exposure prophylaxis.",4
5,KN/HAS/2023/04/073,Karnataka,Hassan,Human Rabies,01,01,21-01-2023,25-01-2023,Under Control,"Case reported from Tuppadahalli village, Didaga PHC, Channaraya Patna Taluka, Hassan District. Case presented with hydrophobia and had given a history of dog bite. The deceased case was a 65 years old female. District RRT investigated the outbreak. Health education was given on the importance of post exposure prophylaxis.",4
6,KN/CKR/2023/10/204,Karnataka,Chikkaballapura,Human Rabies,01,01,05-03-23,07-03-23,Under Surveillance,"Cases reported from Village Ward 21, PHC/CHC/District Chikkaballapura. Case presented with breathlessness, drooling of saliva and hydrophobia. He had a history of dogbite and did not seek any medical care. He did not receive post exposure prophylaxis. The deceased case was a 14 years old male. Lab sample was sent Jto Forensic lab, FSL Science lab, Madiwala, result awaited. District RRT investigated the outbreak. Dog bite contacts were reviewed and instructed to take Anti- rabies vaccine. Health education was given regarding wound management and importance of anti-rabies vaccination post exposure.",10
8,KN/BIJ/2023/10/206,Karnataka,Vijayanagar,Human Rabies,01,01,04-03-23,05-03-23,Under Surveillance,"Case reported from Gouripura, PHC/CHC Mattihalli, Taluk Harappanahalli, District Vijayanagar. Case presented with breathlessness, drooling of saliva and hydrophobia. He had a history of dogbite and did not seek any medical care. He did not receive post exposure prophylaxis. The deceased case was a 10 years old male. District RRT investigated the outbreak. Dog bite contacts were reviewed and instructed to take Anti-rabies vaccine. Health education was given regarding wound management and importance of anti-rabies vaccination post exposure.",10
14,KN/KPP/2023/10/211,Karnataka,Koppal,Human Rabies,01,01,01-03-23,,Under Control,"Case reported from Village Hirekasankandi, PHC/CHC Indragi, Taluk Koppal, District Koppal. Case presented with breathlessness and hydrophobia. He had a history of dog bite. He did not receive post exposure prophylaxis. The deceased case was a 22 years old male. One brain sample was collected and sent to NIMHANS Bangalore, result awaited. District RRT investigated the outbreak. Dog bite contacts were reviewed and instructed to take Anti-rabies vaccine. Health education was given regarding wound management and importance of anti-rabies vaccination post exposure.",10
15,MG/EKH/2023/10/212,Meghalaya,East Khasi Hills,Human Rabies,01,01,28-02-2023,,Under Control,"Case reported from Laitsohphie Pynursla block, East Khasi Hills District. The case presented with bite mark on the right leg along with symptoms of fever, headache, body ache, vomiting, hydrophobia and aerophobia. He did not receive post exposure prophylaxis. The deceased case was a ??. District RRT investigated the outbreak. Dog bite contacts",10
7,KN/DVA/2023/11/219,Karnataka,Davangere,Human Rabies,01,01,13-03-23,13-03-23,Under Surveillance,"Cases reported from Village Hulikatte, PHC/CHC Hemmana Bethuru, Taluk Davangere, District Davangere. The case presented with malaise, dizziness and loss of appetite. He had a history of dog bite two months ago. Apparently he was insisted to take post exposure prophylaxis but he had neglected and denied to take it. CSF, saliva and blood samples were collected and sent to NIMHANS Bangalore. Rabies virus neutralizing antibody were detected by REFFIT. District RRT investigated the outbreak. The deceased case was a 40 years old male. All 26 contacts were given post exposure prophylaxis by Anti-rabies vaccine. All 3 animal bite cases were enlisted and PEP provided. Concerned Panchayat and Veterinary Department were informed. Health education was given on the importance of wound management and post exposure prophylaxis.",11
10,MG/WGH/2023/12/241,Meghalaya,West Garo Hills,Human Rabies,01,01,02-03-2023,23-03-2023,Under Control,"Case reported from Chidaogre village, West Garo Hills District. The case presented with fever, hydrophobia and aerophobia. The case was clinically confirmed as Human Rabies Case. District RRT investigated the outbreak. Tracing of immediate contacts were done and two identified contacts were referred to receive anti rabies vaccine. The deceased was bitten by his own domestic pet dog, which was suspected of rabies. The deceased refused to take the Anti-Rabies vaccine stating that the wound was very small and applied the resin of papaya tree bark. The domestic pet dog was culled after suspecting rabies. Health education was given on the importance of dog bite management and anti-rabies vaccine.",12
20,MG/JTH/2023/12/250,Meghalaya,East Jaintia Hills,Human Rabies,01,01,15-03-2023,,Under Control,"Case reported from Village of Ratacherra, East Jaintia Hills District The case presented with fever, hydrophobia and aerophobia. The case was clinically confirmed as Human Rabies Case. District RRT investigated the outbreak. Tracing of immediate contacts were done and identified contacts were referred to receive anti rabies vaccine. Health education was given on the importance of dog bite management and anti- rabies vaccine.",12
11,MG/JTH/2023/14/275,Meghalaya,West Jaintia Hills,Human Rabies,01,01,30-03-2023,05-04-2023,Under Control,"Case reported from Muktapur village, PHC Dawki, West Garo Hills District. The case presented with fever, hydrophobia and aerophobia. The case was clinically confirmed as Human Rabies Case. The deceased case was a 4 years old female who was bitten by a dog and his family was unaware about Anti-Rabies vaccine and hence, the case did not receive, rather went to a quack for treatment. District RRT investigated the outbreak. Tracing of immediate contacts were done and identified contacts were referred to receive anti rabies vaccine. Health education was given on the importance of dog bite management and anti- rabies vaccine.",14
19,KN/HAS/2023/15/304,Karnataka,Hassan,Human Rabies,01,01,06-04-2023,,Under Control,"Case reported from B. Kalenahalli, PHC Baguru, Taluk Channarayapatna, District Hassan. Case presented with hydrophobia. One postmortem CSF sample and nuchal skin biopsy was collected and sent to NIMHANS, Bengaluru. Test reported positive for Rabies viral RNA by real time PCR. District RRT investigated the outbreak. The deceased case was a 70 years old male. Co-ordinated with the Veterinary department and Gram Panchayat to take necessary actions. All the 25 contacts were traced and given precautionary post exposure prophylaxis. Health education was given on the importance of post exposure prophylaxis.",15
20,KN/HAS/2023/15/305,Karnataka,Hassan,Human Rabies,01,01,05-04-23,,Under Surveillance,"Case reported from B. Kalenahalli, PHC/CHC Baguru, Taluk Channarayapatna, District Hassan. Case presented with hydrophobia and altered sensorium. One serum sample was collected and sent to NIMHANS Bengaluru and was found positive for Rabies viral RNA by real time PCR. The deceased was an 84 years old male. District RRT investigated the outbreak. Health education was given on the importance of post exposure prophylaxis.",15
26,KN/TUM/2023/16/330,Karnataka,Tumkur,Human Rabies,01,01,16-02-23,,Under Surveillance,"Cases reported from Village/PHC/CHC Doddagrahara, Taluk Sira, District Tumkur. 13years old male was bitten by stray dog. He presented with body pain and fever at Government Hospital, Sira. Patient was refered to district hospital for Immunoglobulins and then was referred to Banglore Vanivilllas hospital. One CSF sample was collected and sent to NIMHANS and found positive for Rabies viral RNA by real time PCR.. District RRT investigated the outbreak. Patient’s two close contacts in the family were vaccinated. Health education was given regarding wound management and post exposure prophylaxis.",16
11,MG/RIB/2023/17/340,Meghalaya,Ri Bhoi,Human Rabies,01,01,20-03-2023,28-04-2023,Under Control,"Case reported from Village Umbir, Subdistrict Umsning, District Ri Bhoi. Case presented with hydrophobia. District RRT investigated the outbreak. She had a history of dogbite. No post exposure prophylaxis was taken by her. The deceased case was a 52 years old female. Co-ordinated with the Veterinary department and Gram Panchayat to take necessary actions. Two more people gave history of bite by the same dog. Both were provided with immediate wound management and anti-rabies vaccine. The care taker of the deceased was also given anti-rabies vaccine. Health education was given on the importance of wound management and post exposure prophylaxis.",17
17,MG/JTH/2023/19/393,Meghalaya,West Jaintia Hills,Human Rabies,01,01,01-05-2023,09-05-2023,Under Control,"Case reported from Village lad Mukhla, Block Thadlaskein, District west Jaintia Hills. Case presented with fever, cough and cold, aerophobia and Hydrophobia. No samples could be sent from the Rabid dog or human. District RRT investigated the outbreak. The case was 46 years old male. Community awareness and health education given peripheral health team with regards to dog bites and importance of ARV to prevent Rabies.",19
0,AS/CCR/2023/22/445,Assam,Cachar,Human Rabies,01,01,27-05-2023,29-05-2023,Under Control,"Cases reported from Village Purbo Dayapur Block Udharbond, District Cachar. Case presented with dog bite history. District RRT investigated the outbreak. The case 2year old child succumbed to death on 26-05-2023 at SMCH. Community awareness and health education given by peripheral health team on vaccinaton.",22
3,AS/CCR/2023/22/445,Assam,Cachar,Human Rabies,01,01,27-05-2023,29-05-2023,Under Control,"Cases reported from Village Purbo Dayapur Block Udharbond, District Cachar. Case presented with dog bite history. District RRT investigated the outbreak. The case 2year old child succumbed to death on 26-05-2023 at SMCH. Community awareness and health education given by peripheral health team on vaccinaton.",22
22,KN/VIJ/2023/35/1098,Karnataka,Vijayapura,Human Rabies,1,1,31-08-23,01-09-23,Under Control,"1 rabies death case reported from Village Sasabal, Sub-District Sindgi, District Vijayapura. Cases presented with symptoms Hydrophobia and photophobia, irritability. No clinical samples were collected. District RRT investigated the outbreak. RRT visited the Sasabal village from Golageri PHC of Sindagi Taluka and Immunized all 19 close contacts in CHC Golagerii and Advised them to complete all doses. Informed Animal Husbandry and Veterinary Department for stray dog Rabies Immunization. RRT Team conducted Surveillance activities. Ensured sufficient availability of ARV & ARS in the institution. House to house survey was done for any dog bite cases. IEC activities regarding wound Washing, wood management, importance of ARV in Animal bite condition and completing the vaccine schedule was conducted. PEP & clinical history of all the suspected Dog bite cases was reviewed & ensured that all cases were given ARV & ARS and to complete their schedule. Death of a 7 year old male has occurred due to rabies.",35
4,AR/LDV/2023/36/1153,Arunachal Pradesh,Lower Dibang Valley,Human Rabies,1,1,07-09-23,07-09-23,Under Surveillance,"Case reported from Sub-District Roing, District Lower Dibang Valley. A 10 years old boy presented with symptoms of hydrophobia, aerophobia and lower limb muscles spasm on 3rd Sept. 2023 at BPGH Pasighat, East Siang District. Suspecting a case of Rabies, he was referred to Dibrugarh, Assam on 5th Sept. where he died on the way. District RRT investigated the outbreak. The family of the case had five unvaccinated dogs at their residence, 2 dogs died of unknown reasons one year back. Community awareness and health education given by peripheral team on vaccination.",36
19,KN/CKR/2023/36/1168,Karnataka,Chikballapur,Human Rabies,1,1,01-09-23,08-09-23,Under Surveillance,"Case was reported from Village Venkatagiri Kote, Sub-District Chintamani, District Chikballapur. 47-year-old male presented with complaints of hydrophobia. 1 CSF sample sent to NIMHANS. District RRT investigated the outbreak. The Dog bite happened 2 and half year back. Did not took any vaccination. Patient admitted and treated at ED Hospital Bangalore and died on 23rd August 2023 at 7:30AM. CSF sample came negative for Rabies by DFA. Patient was diagnosed on clinical features. Total 5 contacts of the patients were vaccinated.",36
